ES_ID,StudyID,Title,Authors,Year,DOI,Biodiv_ES,Biodiv_ESType,Biodiv_measure,Biodiv_sample_size,Biodiv_CI_lower,Biodiv_CI_upper,Taxonomic_group,Management_grouped,SE,SD,ConfidenceInterval
ES001,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.253852031,HedgesD,Ab,221,N,N,invertebrates,diversification,0.202313007,,95% confidence interval
ES002,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.42,HedgesD,Ab,100,-2.09,-0.84,invertebrates,diversification,,,95% confidence interval
ES003,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.3,HedgesD,Ab,43,-1.87,-0.82,invertebrates,diversification,,,95% confidence interval
ES004,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-2.43,HedgesD,Ab,23,-4.07,-0.99,invertebrates,diversification,,,95% confidence interval
ES005,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-0.49,HedgesD,Ab,8,-1.16,0.03,invertebrates,diversification,,,95% confidence interval
ES006,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-0.86,HedgesD,Ab,29,-2.01,0.03,invertebrates,diversification,,,95% confidence interval
ES007,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.01,HedgesD,Ab,17,-0.12,0.13,invertebrates,diversification,,,95% confidence interval
ES008,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.375018163,HedgesD,Ab,148,N,N,invertebrates,diversification,0.254764527,,95% confidence interval
ES009,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,2.26,HedgesD,Ab,49,0.86,3.8,invertebrates,diversification,,,95% confidence interval
ES010,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.04,HedgesD,Ab,17,-0.19,0.31,invertebrates,diversification,,,95% confidence interval
ES011,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.85,HedgesD,Ab,4,-0.21,3.91,invertebrates,diversification,,,95% confidence interval
ES012,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.3,HedgesD,Ab,30,0.93,1.73,invertebrates,diversification,,,95% confidence interval
ES013,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.43,HedgesD,Ab,17,0.04,0.82,invertebrates,diversification,,,95% confidence interval
ES014,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.23,HedgesD,Ab,19,0.21,2.84,invertebrates,diversification,,,95% confidence interval
ES015,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.95,HedgesD,Ab,12,0.52,1.42,invertebrates,diversification,,,95% confidence interval
ES016,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,1.170682731,LRR,SR,41,N,N,all,nutrient addition(water),0.032784198,,95% confidence interval
ES017,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,1.206827309,LRR,SR,19,N,N,all,nutrient addition(water),0.036882223,,95% confidence interval
ES018,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,0.897590361,LRR,SR,17,N,N,all,nutrient addition(nitrogen),0.049176297,,95% confidence interval
ES019,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,0.949799197,LRR,SR,19,N,N,all,nutrient addition(water+nitrogen),0.067617408,,95% confidence interval
ES020,FEB23_07,Mowing and warming effects on grassland species richness and harvested biomass: meta-analyses,Pisedduetal2021,2021,http://dx.doi.org/10.1007/s13593-021-00722-y,0.28,LRR,SR,46,0.19,0.37,all,vegetation removal,,,95% confidence interval
ES021,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-8.756476684,Percentage change,SR,292,N,N,all,intensification,2.696415354,,95% confidence interval
ES022,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-1.295336788,Percentage change,SR,16,N,N,all,intensification,3.489478693,,95% confidence interval
ES023,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-8.134715026,Percentage change,SR,70,N,N,all,intensification,3.013640689,,95% confidence interval
ES024,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-12.48704663,Percentage change,SR,31,N,N,all,intensification,6.66173205,,95% confidence interval
ES025,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-23.05699482,Percentage change,SR,29,N,N,all,intensification,2.537802686,,95% confidence interval
ES026,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-6.580310881,Percentage change,SR,81,N,N,all,intensification,3.013640689,,95% confidence interval
ES027,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-6.580310881,Percentage change,SR,65,N,N,all,intensification,3.013640689,,95% confidence interval
ES028,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-1.256281407,Percentage change,SR,147,N,N,all,intensification,3.538098657,,95% confidence interval
ES029,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,0.552763819,Percentage change,SR,92,N,N,plants,intensification,5.07640242,,95% confidence interval
ES030,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-7.286432161,Percentage change,SR,26,N,N,invertebrates,intensification,7.845349195,,95% confidence interval
ES031,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-0.351758794,Percentage change,SR,29,N,N,vertebrates,intensification,7.230027689,,95% confidence interval
ES032,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-20.85427136,Percentage change,SR,59,N,N,plants,intensification,4.153420162,,95% confidence interval
ES033,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-37.73869347,Percentage change,SR,26,N,N,plants,intensification,4.768741668,,95% confidence interval
ES034,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-0.653266332,Percentage change,SR,19,N,N,invertebrates,intensification,8.614501077,,95% confidence interval
ES035,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-10.90452261,Percentage change,SR,14,N,N,vertebrates,intensification,9.229822582,,95% confidence interval
ES036,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-12.11055276,Percentage change,SR,86,N,N,plants,intensification,4.461080915,,95% confidence interval
ES037,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-11.80904523,Percentage change,SR,63,N,N,plants,intensification,5.537893549,,95% confidence interval
ES038,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-15.72864322,Percentage change,SR,9,N,N,invertebrates,intensification,10.61429597,,95% confidence interval
ES039,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-13.61809045,Percentage change,SR,14,N,N,vertebrates,intensification,17.38283253,,95% confidence interval
ES040,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.089189189,LRR,Sh,127,N,N,fungi,intensification,0.019305019,,95% confidence interval
ES041,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.045945946,LRR,Sh,67,N,N,fungi,intensification,0.022062879,,95% confidence interval
ES042,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.175675676,LRR,Sh,19,N,N,fungi,intensification,0.060672918,,95% confidence interval
ES043,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.137837838,LRR,Sh,41,N,N,fungi,intensification,0.038610039,,95% confidence interval
ES044,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.132432432,LRR,Sh,15,N,N,fungi,intensification,0.066188638,,95% confidence interval
ES045,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.1,LRR,Sh,23,N,N,fungi,intensification,0.049641478,,95% confidence interval
ES046,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.094594595,LRR,Sh,57,N,N,fungi,intensification,0.019305019,,95% confidence interval
ES047,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.002702703,LRR,Sh,32,N,N,fungi,intensification,0.038610039,,95% confidence interval
ES048,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.117647059,LRR,SR,169,N,N,fungi,intensification,0.019293432,,95% confidence interval
ES049,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.067226891,LRR,SR,86,N,N,fungi,intensification,0.025724576,,95% confidence interval
ES050,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.113445378,LRR,SR,26,N,N,fungi,intensification,0.045018007,,95% confidence interval
ES051,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.205882353,LRR,SR,57,N,N,fungi,intensification,0.040730578,,95% confidence interval
ES052,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.214285714,LRR,SR,33,N,N,fungi,intensification,0.042874293,,95% confidence interval
ES053,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.096638655,LRR,SR,32,N,N,fungi,intensification,0.042874293,,95% confidence interval
ES054,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,-0.193277311,LRR,SR,58,N,N,fungi,intensification,0.030012005,,95% confidence interval
ES055,FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2020,2020,http://dx.doi.org/10.1111/nph.17077,0.071428571,LRR,SR,46,N,N,fungi,intensification,0.040730578,,95% confidence interval
ES056,FEB23_146,The effects of thinning and burning on understory vegetation in North America: A meta-analysis,Willmsetal2017,2017,http://dx.doi.org/10.1016/j.foreco.2017.03.010,1.2,StdMeanDiff,SR,7,0.75,1.64,all,vegetation removal,,,95% confidence interval
ES057,FEB23_193,"Effect of forest stand management on species composition, structural diversity, and productivity in the temperate zone of Europe",Dieleretal2017,2017,http://dx.doi.org/10.1007/s10342-017-1056-1,0.96,RR,SR,29,0.88,1.05,all,vegetation removal,,,95% confidence interval
ES058,FEB23_193,"Effect of forest stand management on species composition, structural diversity, and productivity in the temperate zone of Europe",Dieleretal2017,2017,http://dx.doi.org/10.1007/s10342-017-1056-1,1,RR,Sh,15,0.86,1.15,all,vegetation removal,,,95% confidence interval
ES059,FEB23_224,Cocoa agroforestry systems versus monocultures: a multi-dimensional meta-analysis,Nietheretal2020,2020,http://dx.doi.org/10.1088/1748-9326/abb053,4.672897196,HedgesG,SR,5,N,N,animals,diversification,1.621209231,,95% confidence interval
ES060,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,11.02941176,Percentage change,Diversity,4,N,N,plants,vegetation removal,3.93907563,,95% confidence interval
ES061,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,-2.205882353,Percentage change,Diversity,4,N,N,plants,vegetation removal,9.191176471,,95% confidence interval
ES062,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,20.63492063,Percentage change,Diversity,16,N,N,plants,vegetation removal,8.908325235,,95% confidence interval
ES063,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,25.3968254,Percentage change,Diversity,5,N,N,plants,vegetation removal,12.14771623,,95% confidence interval
ES064,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,65.12605042,Percentage change,Diversity,2,N,N,plants,vegetation removal,28.2970331,,95% confidence interval
ES065,FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,62.60504202,Percentage change,Diversity,2,N,N,plants,vegetation removal,27.43954725,,95% confidence interval
ES066,FEB23_242,Cumulative nitrogen input drives species loss in terrestrial ecosystems,DeSchrijveretal2011,2011,http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x,-0.324285714,LRR,SR,37,N,N,all,nutrient addition(nitrogen),0.051020408,,95% confidence interval
ES067,FEB23_242,Cumulative nitrogen input drives species loss in terrestrial ecosystems,DeSchrijveretal2011,2011,http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x,-0.078571429,LRR,SR,5,N,N,all,nutrient addition(nitrogen),0.094752187,,95% confidence interval
ES068,FEB23_242,Cumulative nitrogen input drives species loss in terrestrial ecosystems,DeSchrijveretal2011,2011,http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x,-0.178571429,LRR,SR,9,N,N,all,nutrient addition(nitrogen),0.083819242,,95% confidence interval
ES069,FEB23_242,Cumulative nitrogen input drives species loss in terrestrial ecosystems,DeSchrijveretal2011,2011,http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x,-0.451428571,LRR,SR,22,N,N,plants,nutrient addition(nitrogen),0.066326531,,95% confidence interval
ES070,FEB23_303,A systematic review of elephant impact across Africa,Guldemondetal2017,2017,http://dx.doi.org/10.1371/journal.pone.0178935,0.673913043,CohensD,Diversity,34,N,N,plants,grazing,0.155279503,,95% confidence interval
ES071,FEB23_303,A systematic review of elephant impact across Africa,Guldemondetal2017,2017,http://dx.doi.org/10.1371/journal.pone.0178935,-0.869565217,CohensD,Diversity,15,N,N,trees,grazing,0.443655723,,95% confidence interval
ES072,FEB23_303,A systematic review of elephant impact across Africa,Guldemondetal2017,2017,http://dx.doi.org/10.1371/journal.pone.0178935,0.159090909,CohensD,Diversity,29,N,N,invertebrates,grazing,0.208719852,,95% confidence interval
ES073,FEB23_303,A systematic review of elephant impact across Africa,Guldemondetal2017,2017,http://dx.doi.org/10.1371/journal.pone.0178935,-0.181818182,CohensD,Diversity,18,N,N,vertebrates,grazing,0.324675325,,95% confidence interval
ES074,FEB23_307,Edaphoclimatic drivers of the effect of extensive vegetation management on ecosystem services and biodiversity in vineyards,Chapela-Olivaetal2022,2022,http://dx.doi.org/10.1016/j.agee.2022.108115,0.088409835,LRR,SR/Ab,11,N,N,all,diversification,0.032626008,,95% confidence interval
ES075,FEB23_307,Edaphoclimatic drivers of the effect of extensive vegetation management on ecosystem services and biodiversity in vineyards,Chapela-Olivaetal2022,2022,http://dx.doi.org/10.1016/j.agee.2022.108115,0.540957661,LRR,SR/Ab,2,N,N,all,diversification,0.547113054,,95% confidence interval
ES076,FEB23_307,Edaphoclimatic drivers of the effect of extensive vegetation management on ecosystem services and biodiversity in vineyards,Chapela-Olivaetal2022,2022,http://dx.doi.org/10.1016/j.agee.2022.108115,0.078571839,LRR,SR/Ab,9,N,N,all,diversification,0.067761709,,95% confidence interval
ES077,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,9.964664311,Percentage change,SR,38,N,N,all,grazing,3.677796207,,95% confidence interval
ES078,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.272084806,Percentage change,SR,5,N,N,all,grazing,3.028773347,,95% confidence interval
ES079,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,19.08127208,Percentage change,SR,10,N,N,all,grazing,8.545467657,,95% confidence interval
ES080,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,2.120141343,Percentage change,SR,10,N,N,all,grazing,7.031080984,,95% confidence interval
ES081,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,13.35689046,Percentage change,SR,13,N,N,all,grazing,5.084012404,,95% confidence interval
ES082,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.060070671,Percentage change,SR,6,N,N,all,grazing,7.78827432,,95% confidence interval
ES083,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,9.752650177,Percentage change,SR,13,N,N,all,grazing,6.382058124,,95% confidence interval
ES084,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,14.204947,Percentage change,SR,19,N,N,all,grazing,6.922910507,,95% confidence interval
ES085,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.876325088,Percentage change,SR,30,N,N,all,grazing,3.56962573,,95% confidence interval
ES086,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,34.98233216,Percentage change,SR,5,N,N,all,grazing,10.38436576,,95% confidence interval
ES087,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,13.78091873,Percentage change,SR,3,N,N,all,grazing,7.78827432,,95% confidence interval
ES088,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,-0.212014134,Percentage change,SR,10,N,N,all,grazing,3.2451143,,95% confidence interval
ES089,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,2.756183746,Percentage change,SR,20,N,N,all,grazing,4.002307637,,95% confidence interval
ES090,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,37.31448763,Percentage change,SR,8,N,N,all,grazing,8.220956227,,95% confidence interval
ES091,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,11.02473498,Percentage change,SR,35,N,N,all,grazing,4.326819067,,95% confidence interval
ES092,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.060070671,Percentage change,SR,2,N,N,all,grazing,5.733035264,,95% confidence interval
ES093,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,36.13183292,Percentage change,ShW,2,N,N,all,grazing,26.03675649,,95% confidence interval
ES094,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,18.96437154,Percentage change,ShW,5,N,N,all,grazing,7.919013495,,95% confidence interval
ES095,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,5.089300019,Percentage change,ShW,28,N,N,all,grazing,3.119611377,,95% confidence interval
ES096,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,7.676177761,Percentage change,ShW,10,N,N,all,grazing,9.478819184,,95% confidence interval
ES097,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.383787908,Percentage change,ShW,12,N,N,all,grazing,4.079491801,,95% confidence interval
ES098,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,10.73339691,Percentage change,ShW,13,N,N,all,grazing,4.319461906,,95% confidence interval
