ES_ID,StudyID,Title,Authors,Year,DOI,Biodiv_ES,Biodiv_ESType,Biodiv_measure,Biodiv_sample_size,Biodiv_CI_lower,Biodiv_CI_upper,Taxonomic_group,Management_grouped,SE,SD,ConfidenceInterval
ES099,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,16.3774938,Percentage change,ShW,4,N,N,all,grazing,14.99813162,,95% confidence interval
ES100,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,26.96017547,Percentage change,ShW,4,N,N,all,grazing,17.63780278,,95% confidence interval
ES101,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.854129315,Percentage change,ShW,27,N,N,all,grazing,2.879641271,,95% confidence interval
ES102,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,8.381689872,Percentage change,ShW,17,N,N,all,grazing,5.039372224,,95% confidence interval
ES103,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,10.0278848,Percentage change,ShW,16,N,N,all,grazing,4.559432012,,95% confidence interval
ES104,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,-12.54850277,Percentage change,ShW,2,N,N,all,grazing,2.999626324,,95% confidence interval
ES105,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,6.735494946,Percentage change,ShW,12,N,N,all,grazing,5.039372224,,95% confidence interval
ES106,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,2.267251574,Percentage change,ShW,9,N,N,all,grazing,6.359207807,,95% confidence interval
ES107,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,16.3774938,Percentage change,ShW,9,N,N,all,grazing,8.278968654,,95% confidence interval
ES108,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,7.205836353,Percentage change,ShW,5,N,N,all,grazing,5.27934233,,95% confidence interval
ES109,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,7.911348465,Percentage change,ShW,35,N,N,all,grazing,3.119611377,,95% confidence interval
ES110,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,11.91919192,Percentage change,Pielou,4,N,N,all,grazing,4.535147392,,95% confidence interval
ES111,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,2.727272727,Percentage change,Pielou,25,N,N,all,grazing,1.85528757,,95% confidence interval
ES112,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.949494949,Percentage change,Pielou,6,N,N,all,grazing,3.813646671,,95% confidence interval
ES113,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.212121212,Percentage change,Pielou,14,N,N,all,grazing,1.133786848,,95% confidence interval
ES114,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,8.080808081,Percentage change,Pielou,10,N,N,all,grazing,3.401360544,,95% confidence interval
ES115,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,5.757575758,Percentage change,Pielou,4,N,N,all,grazing,3.298289013,,95% confidence interval
ES116,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,6.363636364,Percentage change,Pielou,4,N,N,all,grazing,6.338899196,,95% confidence interval
ES117,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,3.333333333,Percentage change,Pielou,22,N,N,all,grazing,2.21603793,,95% confidence interval
ES118,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.444444444,Percentage change,Pielou,14,N,N,all,grazing,2.112966399,,95% confidence interval
ES119,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.01010101,Percentage change,Pielou,14,N,N,all,grazing,2.937538652,,95% confidence interval
ES120,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,-9.292929293,Percentage change,Pielou,2,N,N,all,grazing,7.421150278,,95% confidence interval
ES121,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,4.141414141,Percentage change,Pielou,8,N,N,all,grazing,1.288394146,,95% confidence interval
ES122,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,1.212121212,Percentage change,Pielou,9,N,N,all,grazing,4.483611626,,95% confidence interval
ES123,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,10.2020202,Percentage change,Pielou,9,N,N,all,grazing,6.751185323,,95% confidence interval
ES124,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,6.161616162,Percentage change,Pielou,4,N,N,all,grazing,3.040610183,,95% confidence interval
ES125,FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,3.737373737,Percentage change,Pielou,30,N,N,all,grazing,1.494537209,,95% confidence interval
ES126,FEB23_385,Landscape context affects the sustainability of organic farming systems,Smithetal2020,2020,http://dx.doi.org/10.1073/pnas.1906909117,0.32,LRR,Ab,102,0.19,0.45,all,organic,,,90% confidence interval
ES127,FEB23_385,Landscape context affects the sustainability of organic farming systems,Smithetal2020,2020,http://dx.doi.org/10.1073/pnas.1906909117,0.32,LRR,SR,94,0.22,0.43,all,organic,,,90% confidence interval
ES128,FEB23_570,"Impacts of nitrogen addition on plant biodiversity in mountain grasslands depend on dose, application duration and climate: a systematic review",Humbertetal2015,2015,http://dx.doi.org/10.1111/gcb.12986,-0.136,LRR,SR,84,N,N,all,nutrient addition(nitrogen),0.022,,95% confidence interval
ES129,FEB23_570,"Impacts of nitrogen addition on plant biodiversity in mountain grasslands depend on dose, application duration and climate: a systematic review",Humbertetal2015,2015,http://dx.doi.org/10.1111/gcb.12986,-0.034,LRR,Sh,40,N,N,all,nutrient addition(nitrogen),0.023,,95% confidence interval
ES130,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,8.352941176,Percentage change,SR,153,N,N,all,grazing exclusion,3.661464586,,95% confidence interval
ES131,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,8.252427184,Percentage change,SR,131,N,N,all,grazing exclusion,4.160887656,,95% confidence interval
ES132,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,3.59223301,Percentage change,SR,16,N,N,all,grazing exclusion,7.331087775,,95% confidence interval
ES133,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,19.32038835,Percentage change,SR,6,N,N,all,grazing exclusion,1.783237567,,95% confidence interval
ES134,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-6.823529412,Percentage change,Sh,161,N,N,all,grazing exclusion,1.980792317,,95% confidence interval
ES135,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-5.533980583,Percentage change,Sh,118,N,N,all,grazing exclusion,2.278581335,,95% confidence interval
ES136,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-11.3592233,Percentage change,Sh,36,N,N,all,grazing exclusion,3.962750149,,95% confidence interval
ES137,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,9.417475728,Percentage change,Sh,7,N,N,all,grazing exclusion,15.55379433,,95% confidence interval
ES138,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-6.117647059,Percentage change,Pielou,145,N,N,all,grazing exclusion,1.920768307,,95% confidence interval
ES139,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-6.893203883,Percentage change,Pielou,105,N,N,all,grazing exclusion,1.783237567,,95% confidence interval
ES140,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,-5.922330097,Percentage change,Pielou,34,N,N,all,grazing exclusion,3.071131365,,95% confidence interval
ES141,FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2020,2020,http://dx.doi.org/10.1016/j.gecco.2020.e01066,6.893203883,Percentage change,Pielou,6,N,N,all,grazing exclusion,4.854368932,,95% confidence interval
ES142,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.216312057,LRR,SR,133,N,N,all,intensification,0.036184687,,95% confidence interval
ES143,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.060283688,LRR,Sh,144,N,N,all,intensification,0.021710812,,95% confidence interval
ES144,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,0.046099291,LRR,Evenness,124,N,N,all,intensification,0.025329281,,95% confidence interval
ES145,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,0.039007092,LRR,Simpson,35,N,N,all,intensification,0.028947749,,95% confidence interval
ES146,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.059770115,LRR,SR,29,N,N,all,intensification,0.049847525,,95% confidence interval
ES147,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.021538462,LRR,Sh,8,N,N,all,intensification,0.021978022,,95% confidence interval
ES148,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.005384615,LRR,Pielou,7,N,N,all,intensification,0.007064364,,95% confidence interval
ES149,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.012359551,LRR,Simpson,9,N,N,all,intensification,0.00573263,,95% confidence interval
ES150,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.183908046,LRR,SR,71,N,N,all,intensification,0.031081398,,95% confidence interval
ES151,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,0.001025641,LRR,Sh,24,N,N,all,intensification,0.048142334,,95% confidence interval
ES152,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,0.001538462,LRR,Pielou,23,N,N,all,intensification,0.010007849,,95% confidence interval
ES153,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.026966292,LRR,Simpson,12,N,N,all,intensification,0.014904838,,95% confidence interval
ES154,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.47816092,LRR,SR,153,N,N,all,intensification,0.022284776,,95% confidence interval
ES155,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.259487179,LRR,Sh,53,N,N,all,intensification,0.033490319,,95% confidence interval
ES156,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.067692308,LRR,Pielou,33,N,N,all,intensification,0.012362637,,95% confidence interval
ES157,FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,-0.059550562,LRR,Simpson,11,N,N,all,intensification,0.025796836,,95% confidence interval
ES158,FEB23_80,"Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis",McDonaldetal2019,2019,http://dx.doi.org/10.1111/1365-2664.13496,-0.093413174,LRR,diversity,18,N,N,plants,grazing exclusion,0.087987291,,95% confidence interval
ES159,FEB23_80,"Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis",McDonaldetal2019,2019,http://dx.doi.org/10.1111/1365-2664.13496,-0.040718563,LRR,SR,28,N,N,all,grazing exclusion,0.05988024,,95% confidence interval
ES160,FEB23_80,"Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis",McDonaldetal2019,2019,http://dx.doi.org/10.1111/1365-2664.13496,0.049604222,LRR,diversity,18,N,N,plants,grazing exclusion,0.073232459,,95% confidence interval
ES161,FEB23_80,"Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis",McDonaldetal2019,2019,http://dx.doi.org/10.1111/1365-2664.13496,0.072823219,LRR,SR,28,N,N,all,grazing exclusion,0.095848366,,95% confidence interval
ES162,FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,http://dx.doi.org/10.1016/j.agee.2016.06.002,0.297,LRR,Biodiversity,65,0.187,0.407,all,diversification,0.152,,95% confidence interval
ES163,FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,http://dx.doi.org/10.1016/j.agee.2016.06.002,0.422,LRR,Biodiversity,9,-0.675,1.52,fungi,diversification,1.115,,95% confidence interval
ES164,FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,http://dx.doi.org/10.1016/j.agee.2016.06.002,0.539,LRR,Biodiversity,25,-0.432,0.823,invertebrates,diversification,2.04,,95% confidence interval
ES165,FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,http://dx.doi.org/10.1016/j.agee.2016.06.002,0.575,LRR,Biodiversity,6,-0.904,2.054,plants,diversification,10.72,,95% confidence interval
ES166,FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,http://dx.doi.org/10.1016/j.agee.2016.06.002,2.068,LRR,Biodiversity,16,1.309,2.828,birds,diversification,2.04,,95% confidence interval
ES167,FEB23_95,Revegetation of degraded ecosystems into grasslands using biosolids as an organic amendment: A meta-analysis,Plougheetal2020,2020,http://dx.doi.org/10.1111/avsc.12558,0.27,LRR,SR,159,-0.1,0.65,all,organic,,,95% confidence interval
ES168,FEB23_95,Revegetation of degraded ecosystems into grasslands using biosolids as an organic amendment: A meta-analysis,Plougheetal2020,2020,http://dx.doi.org/10.1111/avsc.12558,0.13,LRR,Sh,24,-0.13,0.38,all,organic,,,95% confidence interval
ES169,FEB23_95,Revegetation of degraded ecosystems into grasslands using biosolids as an organic amendment: A meta-analysis,Plougheetal2020,2020,http://dx.doi.org/10.1111/avsc.12558,-0.22,LRR,Ab,42,-0.64,0.19,all,organic,,,95% confidence interval
ES170,JB005,Effects of agricultural management practices on soil quality: A review of long-term experiments for Europe and China,Baietal2018,2018,10.1016/j.agee.2018.05.028,2.45,LRR,Ab,6,N,N,invertebrates,organic,,1.67,95% confidence interval
ES171,JB005,Effects of agricultural management practices on soil quality: A review of long-term experiments for Europe and China,Baietal2018,2018,10.1016/j.agee.2018.05.028,1.53,LRR,Ab,3,N,N,invertebrates,intensification,,0.62,95% confidence interval
ES172,JB005,Effects of agricultural management practices on soil quality: A review of long-term experiments for Europe and China,Baietal2018,2018,10.1016/j.agee.2018.05.028,1.73,LRR,Ab,2,N,N,invertebrates,diversification,,1.55,95% confidence interval
ES173,JB005,Effects of agricultural management practices on soil quality: A review of long-term experiments for Europe and China,Baietal2018,2018,10.1016/j.agee.2018.05.028,1.75,LRR,Ab,3,N,N,invertebrates,organic,,0.37,95% confidence interval
ES174,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.107749077,LRR,SR,20,N,N,all,organic,0.03953611,,95% confidence interval
ES175,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.149815498,LRR,SR,36,N,N,all,organic,0.045184125,,95% confidence interval
ES176,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.001476015,LRR,SR,11,N,N,all,organic,0.065516982,,95% confidence interval
ES177,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.218450185,LRR,SR,15,N,N,all,intensification,0.109571504,,95% confidence interval
ES178,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.096678967,LRR,SR,10,N,N,all,intensification,0.090368251,,95% confidence interval
ES179,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,-0.029508197,LRR,Ab,52,N,N,all,organic,0.184008029,,95% confidence interval
ES180,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.547540984,LRR,Ab,64,N,N,all,organic,0.113750418,,95% confidence interval
ES181,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.049180328,LRR,Ab,21,N,N,all,organic,0.140515222,,95% confidence interval
ES182,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,-0.049180328,LRR,Ab,15,N,N,all,intensification,0.384744062,,95% confidence interval
ES183,JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,0.593442623,LRR,Ab,25,N,N,all,intensification,0.264302442,,95% confidence interval
ES184,JB152,Can agroforestry systems enhance biodiversity and ecosystem service provision in agricultural landscapes? A meta-analysis for the Brazilian Atlantic Forest,Santosetal2019,2019,10.1016/j.foreco.2018.10.064,-0.533574151,LRR,Biodiversity,89,N,N,all,intensification,0.129374567,,95% confidence interval
ES185,JB152,Can agroforestry systems enhance biodiversity and ecosystem service provision in agricultural landscapes? A meta-analysis for the Brazilian Atlantic Forest,Santosetal2019,2019,10.1016/j.foreco.2018.10.064,-0.250740679,LRR,Biodiversity,108,N,N,all,diversification,0.101440576,,95% confidence interval
ES186,JB152,Can agroforestry systems enhance biodiversity and ecosystem service provision in agricultural landscapes? A meta-analysis for the Brazilian Atlantic Forest,Santosetal2019,2019,10.1016/j.foreco.2018.10.064,-0.09514158,LRR,Biodiversity,267,N,N,all,diversification,0.082240944,,95% confidence interval
ES187,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.031578947,LRR,Sh,167,N,N,all,organic,0.016111708,,95% confidence interval
ES188,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.057416268,LRR,Sh,148,N,N,all,organic,0.019041109,,95% confidence interval
ES189,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.022966507,LRR,Sh,246,N,N,all,organic,0.013182306,,95% confidence interval
ES190,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.01722488,LRR,Sh,10,N,N,all,organic,0.089346743,,95% confidence interval
ES191,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,-0.040191388,LRR,Sh,44,N,N,all,organic,0.042476321,,95% confidence interval
ES192,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.031578947,LRR,Sh,38,N,N,all,organic,0.049799824,,95% confidence interval
ES193,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.020095694,LRR,Sh,101,N,N,all,organic,0.026364613,,95% confidence interval
ES194,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.014354067,LRR,Sh,95,N,N,all,organic,0.021970511,,95% confidence interval
ES195,JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,0.025837321,LRR,Sh,225,N,N,all,organic,0.016111708,,95% confidence interval
